,index,date,content,renderedContent,hashtags,likeCount,location
822,822,2021-01-13 20:15:39+00:00,"""For example, our Virtual First policy means we require fewer resources to support our in-office environment, so we’re scaling back that investment,” Drew Houston said.

 #WFH #unemployment #economy #COVID19 #costcutting #CMBS #office 
 https://t.co/cJas4wYrke","""For example, our Virtual First policy means we require fewer resources to support our in-office environment, so we’re scaling back that investment,” Drew Houston said.

 #WFH #unemployment #economy #COVID19 #costcutting #CMBS #office 
 wolfstreet.com/2021/01/13/cit…","('WFH', 'unemployment', 'economy', 'COVID19', 'costcutting', 'CMBS', 'office')",2,New York
823,823,2021-01-11 16:24:50+00:00,"My setup for today’s Varonis Sales Kickoff 2021 #varonislife #varonis #wfh #tinywineglasses @ Brooklyn, New York https://t.co/2c2Roy0ATd","My setup for today’s Varonis Sales Kickoff 2021 #varonislife #varonis #wfh #tinywineglasses @ Brooklyn, New York instagram.com/p/CJ6UsQFD_51/…","('varonislife', 'varonis', 'wfh', 'tinywineglasses')",1,New York
824,824,2021-01-10 02:08:08+00:00,"Our behavior is not defined by the objects in the environment but by our relationship to them. #wfh #homeoffice @ New York, New York https://t.co/iDhkk0lXfe","Our behavior is not defined by the objects in the environment but by our relationship to them. #wfh #homeoffice @ New York, New York instagram.com/p/CJ2Nv0OAR2e6…","('wfh', 'homeoffice')",0,New York
825,825,2021-01-08 19:52:38+00:00,"My helper 🧡 
#cats #WFH #wfh2021 #wfhlife https://t.co/5IchDfjaUu","My helper 🧡 
#cats #WFH #wfh2021 #wfhlife https://t.co/5IchDfjaUu","('cats', 'WFH', 'wfh2021', 'wfhlife')",0,New York
826,826,2021-01-06 19:28:15+00:00,It’s a turtleneck and cardigan kind of #wfh day! https://t.co/KKGBH7Z6Cz,It’s a turtleneck and cardigan kind of #wfh day! https://t.co/KKGBH7Z6Cz,"('wfh',)",2,New York
827,827,2021-01-05 00:20:14+00:00,"Can you imagine assigning homework when everything students are doing is work from home?! 
#teachertwitter #teachinginapandemic #WFH #education 

Sorry to my elementary &amp; D75 counterparts IRL! Completely wrong!","Can you imagine assigning homework when everything students are doing is work from home?! 
#teachertwitter #teachinginapandemic #WFH #education 

Sorry to my elementary &amp; D75 counterparts IRL! Completely wrong!","('teachertwitter', 'teachinginapandemic', 'WFH', 'education')",5,New York
828,828,2021-01-04 16:31:26+00:00,Why is Slack still down? #wfh https://t.co/yLoqKZS5z3,Why is Slack still down? #wfh https://t.co/yLoqKZS5z3,"('wfh',)",2,New York
829,829,2021-02-26 17:51:28+00:00,"Zoom fatigue is real! Great article on some research highlighting why video meetings make us feel more fatigued and some suggestions for mitigating those effects. 

https://t.co/TVRTX8uXne

#leadership #zoommeetings #WFH","Zoom fatigue is real! Great article on some research highlighting why video meetings make us feel more fatigued and some suggestions for mitigating those effects. 

lnkd.in/dAqk39k

#leadership #zoommeetings #WFH","('leadership', 'zoommeetings', 'WFH')",8,New York
830,830,2021-02-26 15:59:53+00:00,Rolling into the #weekend #thankful that we don't have a #snowstorm on Sunday and no #winterweather advisory 🎉🥂🥰#WFH #FridayVibes #Freckles #FreckleFace #Mizzou #MIZ #Missouri #MizzouAlumni #Friday #FridayMood #FridayMorning https://t.co/Y1RM0EKcPd,Rolling into the #weekend #thankful that we don't have a #snowstorm on Sunday and no #winterweather advisory 🎉🥂🥰#WFH #FridayVibes #Freckles #FreckleFace #Mizzou #MIZ #Missouri #MizzouAlumni #Friday #FridayMood #FridayMorning https://t.co/Y1RM0EKcPd,"('weekend', 'thankful', 'snowstorm', 'winterweather', 'WFH', 'FridayVibes', 'Freckles', 'FreckleFace', 'Mizzou', 'MIZ', 'Missouri', 'MizzouAlumni', 'Friday', 'FridayMood', 'FridayMorning')",1,New York
831,831,2021-02-24 20:55:41+00:00,#WFH Afternoon pick-me-up. Courtesy of @zabarsisny. #NYC @ Bedford-Stuyvesant https://t.co/LgxoWrXKVI,#WFH Afternoon pick-me-up. Courtesy of @zabarsisny. #NYC @ Bedford-Stuyvesant instagram.com/p/CLsGqoXpQwK/…,"('WFH', 'NYC')",0,New York
832,832,2021-02-23 05:26:14+00:00,"Digital sketch. Pre-pandemic, I would work on this while riding the subway. Still at work, but #WFH #ArtistOnTwitter #artph #digitalartwork #DigitalArtist #sketch #animation #work #originalcharacter #illustration #NYC #newyorkart #remotework #artworks #originalart #NFT #Bitcoin https://t.co/uHfSIxAdS6","Digital sketch. Pre-pandemic, I would work on this while riding the subway. Still at work, but #WFH #ArtistOnTwitter #artph #digitalartwork #DigitalArtist #sketch #animation #work #originalcharacter #illustration #NYC #newyorkart #remotework #artworks #originalart #NFT #Bitcoin https://t.co/uHfSIxAdS6","('WFH', 'ArtistOnTwitter', 'artph', 'digitalartwork', 'DigitalArtist', 'sketch', 'animation', 'work', 'originalcharacter', 'illustration', 'NYC', 'newyorkart', 'remotework', 'artworks', 'originalart', 'NFT', 'Bitcoin')",9,New York
833,833,2021-02-22 22:33:43+00:00,"I’ll legit get up from the laptop, walk to the kitchen - stare out the window for 10 minutes and go back to the laptop...completely forgetting I went for a bottle of water. #wfh #boredinthehouse #sendhelp","I’ll legit get up from the laptop, walk to the kitchen - stare out the window for 10 minutes and go back to the laptop...completely forgetting I went for a bottle of water. #wfh #boredinthehouse #sendhelp","('wfh', 'boredinthehouse', 'sendhelp')",0,New York
834,834,2021-02-20 04:35:46+00:00,Office with a view. #wfh #freelance @ Upper West Side https://t.co/tTjEEtBUEM,Office with a view. #wfh #freelance @ Upper West Side instagram.com/p/CLgDVz0hhbj/…,"('wfh', 'freelance')",0,New York
835,835,2021-02-17 20:57:01+00:00,Don’t know who needs to hear this but take that FULL HOUR lunch break...they’ll survive #Workday #wfh #job,Don’t know who needs to hear this but take that FULL HOUR lunch break...they’ll survive #Workday #wfh #job,"('Workday', 'wfh', 'job')",0,New York
836,836,2021-02-17 19:49:49+00:00,"Start today with morning affirmations!
👏👏👏
#mondaymotivation #tiktoksongs #bossbabes #morningaffirmation #affirmations #socialmarketing #socialmediamarketing #WFH #workfromhome #modere #moderelife https://t.co/IFx3xYQLMA","Start today with morning affirmations!
👏👏👏
#mondaymotivation #tiktoksongs #bossbabes #morningaffirmation #affirmations #socialmarketing #socialmediamarketing #WFH #workfromhome #modere #moderelife https://t.co/IFx3xYQLMA","('mondaymotivation', 'tiktoksongs', 'bossbabes', 'morningaffirmation', 'affirmations', 'socialmarketing', 'socialmediamarketing', 'WFH', 'workfromhome', 'modere', 'moderelife')",5,New York
837,837,2021-02-17 13:22:28+00:00,"Frankie’s human is trying to work from home! Look familiar? If so, we are here to help!  Our amazing staff can help tire out your pooch with personalized walks which lead to distraction free afternoons… Contact us for WFH pricing #separationanxiety #wfh #fidi #nyc #dogwalking https://t.co/TKfx88G4kv","Frankie’s human is trying to work from home! Look familiar? If so, we are here to help!  Our amazing staff can help tire out your pooch with personalized walks which lead to distraction free afternoons… Contact us for WFH pricing #separationanxiety #wfh #fidi #nyc #dogwalking https://t.co/TKfx88G4kv","('separationanxiety', 'wfh', 'fidi', 'nyc', 'dogwalking')",0,New York
838,838,2021-02-16 18:03:07+00:00,It will be a year of working from home next month. #WFH https://t.co/rtHbti4VTJ,It will be a year of working from home next month. #WFH https://t.co/rtHbti4VTJ,"('WFH',)",4,New York
839,839,2021-02-16 16:49:10+00:00,👏🏼 @Spotify - Spotify is joining a growing number of tech companies that offer flexible and remote work models after the pandemic https://t.co/DdiAlZTMTg #WFH,👏🏼 @Spotify - Spotify is joining a growing number of tech companies that offer flexible and remote work models after the pandemic cnb.cx/3rO5uzm #WFH,"('WFH',)",0,New York
840,840,2021-02-16 15:57:57+00:00,"Does your dog think their name is NO? Let us tire out your furry friend while you are working from home… Contact us for special WFH pricing 
#pug #pugs #separationanxiety #wfh #workfromhome #Dog #Dogs #Pet #Pets #nyc #newyorkcity 
#lowermanhattan #fidi #financialdistrict #woof https://t.co/5906Ygbn6R","Does your dog think their name is NO? Let us tire out your furry friend while you are working from home… Contact us for special WFH pricing 
#pug #pugs #separationanxiety #wfh #workfromhome #Dog #Dogs #Pet #Pets #nyc #newyorkcity 
#lowermanhattan #fidi #financialdistrict #woof https://t.co/5906Ygbn6R","('pug', 'pugs', 'separationanxiety', 'wfh', 'workfromhome', 'Dog', 'Dogs', 'Pet', 'Pets', 'nyc', 'newyorkcity', 'lowermanhattan', 'fidi', 'financialdistrict', 'woof')",0,New York
841,841,2021-02-15 23:44:26+00:00,"Join us on Thursday to discuss the challenges of #IAM and #WFH 👇 
@Perimeter_81 @DataConnectors
https://t.co/coh4hVrNYJ https://t.co/FkXj7K526S","Join us on Thursday to discuss the challenges of #IAM and #WFH 👇 
@Perimeter_81 @DataConnectors
dataconnectors.com/events/2021/fe… https://t.co/FkXj7K526S","('IAM', 'WFH')",5,New York
842,842,2021-02-15 02:38:04+00:00,"Time to play my favorite Sunday night game, ""Where did the baby put my headphones I need for work?"" #wfh #dadlife","Time to play my favorite Sunday night game, ""Where did the baby put my headphones I need for work?"" #wfh #dadlife","('wfh', 'dadlife')",6,New York
843,843,2021-02-13 23:22:47+00:00,"""While many companies say productivity is up, executives worry that creativity is suffering and say that burnout is on the rise. ""
https://t.co/8mAXuUekjx

#WFH #WorkFromHome","""While many companies say productivity is up, executives worry that creativity is suffering and say that burnout is on the rise. ""
wsj.com/articles/anoth…

#WFH #WorkFromHome","('WFH', 'WorkFromHome')",1,New York
844,844,2021-02-12 14:40:19+00:00,"What I am watching today = February 12, 2021 #Biden #Xi #Fauci #Bircoin #Moutai #WFH  https://t.co/jMoRCtHBId","What I am watching today = February 12, 2021 #Biden #Xi #Fauci #Bircoin #Moutai #WFH  marcaross.net/insights/2021/…","('Biden', 'Xi', 'Fauci', 'Bircoin', 'Moutai', 'WFH')",0,New York
845,845,2021-02-12 14:33:00+00:00,@Wendys what’s the best thing about #Fridays in #Lent? Wendy’s wild caught North Pacific cod – a  “sandwich so so-fish-ticated.”  Enjoyed treating work colleagues to the 😋 #crunch. Need a Wendy’s near home!#wfh https://t.co/u17R4P3wHe,@Wendys what’s the best thing about #Fridays in #Lent? Wendy’s wild caught North Pacific cod – a  “sandwich so so-fish-ticated.”  Enjoyed treating work colleagues to the 😋 #crunch. Need a Wendy’s near home!#wfh https://t.co/u17R4P3wHe,"('Fridays', 'Lent', 'crunch', 'wfh')",0,New York
846,846,2021-02-10 13:57:20+00:00,"Has your pup wanted to participate on your important video calls and your boss isn’t having it? Let our staff of professional, vetted pet specialists take your pup out for a fun, exciting walk. Contact us for special WFH pricing #pug #pugs #separationanxiety #wfh #Dog #Dogs #Fidi https://t.co/zAjsQ0dncy","Has your pup wanted to participate on your important video calls and your boss isn’t having it? Let our staff of professional, vetted pet specialists take your pup out for a fun, exciting walk. Contact us for special WFH pricing #pug #pugs #separationanxiety #wfh #Dog #Dogs #Fidi https://t.co/zAjsQ0dncy","('pug', 'pugs', 'separationanxiety', 'wfh', 'Dog', 'Dogs', 'Fidi')",1,New York
847,847,2021-02-10 02:58:03+00:00,We interrupt the impeachment trial tweets for a very important video (sound on) #wfh https://t.co/Hy07CxFYiQ,We interrupt the impeachment trial tweets for a very important video (sound on) #wfh twitter.com/MikaelThalen/s…,"('wfh',)",0,New York
848,848,2021-02-09 14:23:48+00:00,"Finding the silver lining in #WFH  - I can do laundry, schedule my shower and get house chores done while I work.","Finding the silver lining in #WFH  - I can do laundry, schedule my shower and get house chores done while I work.","('WFH',)",0,New York
849,849,2021-02-07 18:46:42+00:00,"Good #wfh thread 👇
Most ready for one #StayHome 
Add 2 w #remotelearning = 🤯
Yes, learning curve for #management 
Many #teachableMoments 
#AVintheAM #avtweeps https://t.co/qGSd5QqpWy","Good #wfh thread 👇
Most ready for one #StayHome 
Add 2 w #remotelearning = 🤯
Yes, learning curve for #management 
Many #teachableMoments 
#AVintheAM #avtweeps twitter.com/NJDavidD/statu…","('wfh', 'StayHome', 'remotelearning', 'management', 'teachableMoments', 'AVintheAM', 'avtweeps')",0,New York
850,850,2021-02-07 18:41:59+00:00,"what 👇 said
#trust #respect 
That said, trust is earned.
#wfh #remotework 
#avtweeps #AVintheAM https://t.co/9aTNf1joET","what 👇 said
#trust #respect 
That said, trust is earned.
#wfh #remotework 
#avtweeps #AVintheAM twitter.com/Iffsi/status/1…","('trust', 'respect', 'wfh', 'remotework', 'avtweeps', 'AVintheAM')",3,New York
851,851,2021-02-07 18:39:49+00:00,"@josiahway @vacajun @chris_neto We all need to find #wfh #remotework #balance 
Those in #gigeconomy, never ending cycle 
#avtweeps #AVintheAM https://t.co/v4tMZrr2jA","@josiahway @vacajun @chris_neto We all need to find #wfh #remotework #balance 
Those in #gigeconomy, never ending cycle 
#avtweeps #AVintheAM https://t.co/v4tMZrr2jA","('wfh', 'remotework', 'balance', 'gigeconomy', 'avtweeps', 'AVintheAM')",2,New York
852,852,2021-02-07 01:25:36+00:00,"Gonna find me a nice, quiet and peaceful studio apartment here. Overlooking the #LIC waterfront w/ a stunning, unobstructed view of the Manhattan skyline. So help me #God. I earned it. If you disagree go f*ck yourself. #NYC #WFH https://t.co/DdLAkqdYCn","Gonna find me a nice, quiet and peaceful studio apartment here. Overlooking the #LIC waterfront w/ a stunning, unobstructed view of the Manhattan skyline. So help me #God. I earned it. If you disagree go f*ck yourself. #NYC #WFH twitter.com/DezSantanaPhot…","('LIC', 'God', 'NYC', 'WFH')",1,New York
853,853,2021-02-03 19:19:18+00:00,Unsubscribing to emails is exhausting. #WFH,Unsubscribing to emails is exhausting. #WFH,"('WFH',)",0,New York
854,854,2021-02-02 23:08:38+00:00,"#CasualTuesday #WFH during a #Pandemic. 🤷🏼‍♀️ NBD

📸 @_elidico @ Williamsburg https://t.co/YD5QIqI6QE","#CasualTuesday #WFH during a #Pandemic. 🤷🏼‍♀️ NBD

📸 @_elidico @ Williamsburg instagram.com/p/CKzsZOIjMUe/…","('CasualTuesday', 'WFH', 'Pandemic')",0,New York
855,855,2021-02-02 15:15:07+00:00,Remember when we used to have to trudge thru slush puddles and slip down ice stairs to get to an overheated workplace to stare at a computer? That was ridiculous #wfh #PJs,Remember when we used to have to trudge thru slush puddles and slip down ice stairs to get to an overheated workplace to stare at a computer? That was ridiculous #wfh #PJs,"('wfh', 'PJs')",0,New York
856,856,2021-02-02 12:47:36+00:00,#WFH = working longer hours. It's too convenient 🤷 https://t.co/Pil9V7winP,#WFH = working longer hours. It's too convenient 🤷 twitter.com/lucy_meakin/st…,"('WFH',)",1,New York
857,857,2021-02-01 17:33:33+00:00,"@CityofHoboken @RaviBhalla 
You don't think this is worth a #nixle alert? 👇 Not everyone has luxury of #wfh in #gigeconomy
#Hoboken #fail @PhilipHCohen https://t.co/jipEDDZNOr","@CityofHoboken @RaviBhalla 
You don't think this is worth a #nixle alert? 👇 Not everyone has luxury of #wfh in #gigeconomy
#Hoboken #fail @PhilipHCohen twitter.com/PATHAlerts/sta…","('nixle', 'wfh', 'gigeconomy', 'Hoboken', 'fail')",1,New York
858,858,2021-02-01 17:33:07+00:00,Board games &amp; lunch breaks 🥰🥰 #remotelearning #WFH,Board games &amp; lunch breaks 🥰🥰 #remotelearning #WFH,"('remotelearning', 'WFH')",1,New York
859,859,2021-02-01 13:53:26+00:00,Do snow days still happen even if you are working from home? #wfh #SnowDay https://t.co/jd0kApJQB4,Do snow days still happen even if you are working from home? #wfh #SnowDay https://t.co/jd0kApJQB4,"('wfh', 'SnowDay')",2,New York
860,860,2021-02-01 13:04:53+00:00,My first real inclement winter weather in this city. The mayor just issued a travel advisory. Good thing I am still #WFH. https://t.co/D6Cl0JqEDr,My first real inclement winter weather in this city. The mayor just issued a travel advisory. Good thing I am still #WFH. https://t.co/D6Cl0JqEDr,"('WFH',)",5,New York
861,861,2021-02-01 06:00:38+00:00,I should be watching sunrise from inside a pub... #CovidCurfew #Indoordiningban #FuckCuomo #FuckDeBlasio #thecoldneverbotheredmeanyway #Noreaster #WFH #snowday #IrishNewYork https://t.co/Eqd9TXz5lu,I should be watching sunrise from inside a pub... #CovidCurfew #Indoordiningban #FuckCuomo #FuckDeBlasio #thecoldneverbotheredmeanyway #Noreaster #WFH #snowday #IrishNewYork https://t.co/Eqd9TXz5lu,"('CovidCurfew', 'Indoordiningban', 'FuckCuomo', 'FuckDeBlasio', 'thecoldneverbotheredmeanyway', 'Noreaster', 'WFH', 'snowday', 'IrishNewYork')",0,New York
862,862,2021-03-23 23:15:18+00:00,"Self care is nonnegotiable and the glow up is priceless 😻

If you’re looking for amazing products for all skin types, check out @beautyby_am 💛 (this is my 3rd order lol) #WFH #stressfreeliving #beauty #skincareproducts #facial #styleonafly💅🏽 https://t.co/V72LQukm46","Self care is nonnegotiable and the glow up is priceless 😻

If you’re looking for amazing products for all skin types, check out @beautyby_am 💛 (this is my 3rd order lol) #WFH #stressfreeliving #beauty #skincareproducts #facial #styleonafly💅🏽 https://t.co/V72LQukm46","('WFH', 'stressfreeliving', 'beauty', 'skincareproducts', 'facial', 'styleonafly')",3,New York
863,863,2021-03-23 15:20:06+00:00,"Great reminder to be gentle with ourselves and apply as much compassion as we apply to other 

@AdamMGrant #optionb #WOBI @wobi_en #covidwork #WFH #WFHAnniversary #selfcompassion https://t.co/S96f0bbWiy","Great reminder to be gentle with ourselves and apply as much compassion as we apply to other 

@AdamMGrant #optionb #WOBI @wobi_en #covidwork #WFH #WFHAnniversary #selfcompassion https://t.co/S96f0bbWiy","('optionb', 'WOBI', 'covidwork', 'WFH', 'WFHAnniversary', 'selfcompassion')",2,New York
864,864,2021-03-22 01:31:37+00:00,"Spring Is Here 🌸 

FOLLOW @StyleOnAFly #FashionStylingPodcast for tips on everything you need for #Spring 💛

#fashion #designer #stylist #tshirt #casualluxury #handmade #denim #knits #accessories #womenswear #ChristianandGrace #scarves #WFH #styledbydannif💕 https://t.co/CCZTVE6oQq","Spring Is Here 🌸 

FOLLOW @StyleOnAFly #FashionStylingPodcast for tips on everything you need for #Spring 💛

#fashion #designer #stylist #tshirt #casualluxury #handmade #denim #knits #accessories #womenswear #ChristianandGrace #scarves #WFH #styledbydannif💕 https://t.co/CCZTVE6oQq","('FashionStylingPodcast', 'Spring', 'fashion', 'designer', 'stylist', 'tshirt', 'casualluxury', 'handmade', 'denim', 'knits', 'accessories', 'womenswear', 'ChristianandGrace', 'scarves', 'WFH', 'styledbydannif')",6,New York
865,865,2021-03-19 20:04:36+00:00,When @Target have sales 😄 #WFH #remotelearning #MsMommy https://t.co/N7i9PU7Xoe,When @Target have sales 😄 #WFH #remotelearning #MsMommy https://t.co/N7i9PU7Xoe,"('WFH', 'remotelearning', 'MsMommy')",1,New York
866,866,2021-03-19 18:04:01+00:00,Watching Justice League like I have any idea what’s really goin on 🥴 but four hours.. lessgo #happyfriday #wfh,Watching Justice League like I have any idea what’s really goin on 🥴 but four hours.. lessgo #happyfriday #wfh,"('happyfriday', 'wfh')",1,New York
867,867,2021-03-19 17:42:29+00:00,At the office clearing my desk. May be my last visit to this office room #WFH https://t.co/gzTfh4CUp4,At the office clearing my desk. May be my last visit to this office room #WFH https://t.co/gzTfh4CUp4,"('WFH',)",9,New York
868,868,2021-03-19 12:49:58+00:00,"#NYC Lockdown. 1st #WFH day. Selling an AC. Never opened. Never used. Will use proceeds to buy best damn grandma pie in #LIC. And now, the planet. And a thousand apple turnovers. #God works in mysterious ways. If you disagree go f*ck yourself. https://t.co/R1AfrnGUl5","#NYC Lockdown. 1st #WFH day. Selling an AC. Never opened. Never used. Will use proceeds to buy best damn grandma pie in #LIC. And now, the planet. And a thousand apple turnovers. #God works in mysterious ways. If you disagree go f*ck yourself. twitter.com/rlizares/statu…","('NYC', 'WFH', 'LIC', 'God')",1,New York
869,869,2021-03-18 01:31:17+00:00,Today marks one year since I've been working from home. #WFH #COVID19,Today marks one year since I've been working from home. #WFH #COVID19,"('WFH', 'COVID19')",0,New York
870,870,2021-03-17 00:38:36+00:00,And the huge thank you to whoever sent my pics and yes I know the lights a little bright - but that’s show business.  It was a memorable first appearance and kind of typical of #wfh challenges.  #grateful to our PR team for making this happen - we will make it better next time:) https://t.co/0SbBgkqyAG,And the huge thank you to whoever sent my pics and yes I know the lights a little bright - but that’s show business.  It was a memorable first appearance and kind of typical of #wfh challenges.  #grateful to our PR team for making this happen - we will make it better next time:) https://t.co/0SbBgkqyAG,"('wfh', 'grateful')",19,New York
871,871,2021-03-16 20:52:17+00:00,"I've been dealing with a very disruptive colleague for the past year. I've caught her going through my notes, hiding my pens, taking my naps in my chair, and even using some sort of suspicious herbs. I don't know what to do. #badcolleague #CatsOfTwitter #wfh https://t.co/6VUlQ5Jmh6","I've been dealing with a very disruptive colleague for the past year. I've caught her going through my notes, hiding my pens, taking my naps in my chair, and even using some sort of suspicious herbs. I don't know what to do. #badcolleague #CatsOfTwitter #wfh https://t.co/6VUlQ5Jmh6","('badcolleague', 'CatsOfTwitter', 'wfh')",0,New York
872,872,2021-03-16 16:44:19+00:00,It's official - one whole year of #workfromhome #WFH (and lunchtime drinking🍷🥂). Opened a 2012 of perennial favorite Vina Ardanza #nyc #wine #rioja @LaRiojaAltaSA #WFHAnniversary https://t.co/Eje60vBKWr,It's official - one whole year of #workfromhome #WFH (and lunchtime drinking🍷🥂). Opened a 2012 of perennial favorite Vina Ardanza #nyc #wine #rioja @LaRiojaAltaSA #WFHAnniversary https://t.co/Eje60vBKWr,"('workfromhome', 'WFH', 'nyc', 'wine', 'rioja', 'WFHAnniversary')",3,New York
873,873,2021-03-16 16:12:07+00:00,"I just received an email asking me to clear my office (I was a lucky one to have an assigned office), in the context of the preparation of the facilities for a gradual transition to on-site work at the 30 Rock.  
Good or bad news, 🤷 ? #WFH","I just received an email asking me to clear my office (I was a lucky one to have an assigned office), in the context of the preparation of the facilities for a gradual transition to on-site work at the 30 Rock.  
Good or bad news, 🤷 ? #WFH","('WFH',)",2,New York
874,874,2021-03-16 13:16:26+00:00,work from bed kind of day 🛏🥱💻 #wfh #OneYearAfter,work from bed kind of day 🛏🥱💻 #wfh #OneYearAfter,"('wfh', 'OneYearAfter')",0,New York
875,875,2021-03-15 16:25:37+00:00,"Lunch break runs are, in fact, IT. #RunNYC #WFH","Lunch break runs are, in fact, IT. #RunNYC #WFH","('RunNYC', 'WFH')",1,New York
876,876,2021-03-15 14:43:46+00:00,Upgrade to V2 of WFH setup! Almost there!!! Haha 😂 #wfh #nyc https://t.co/SIIhsaB7NX,Upgrade to V2 of WFH setup! Almost there!!! Haha 😂 #wfh #nyc https://t.co/SIIhsaB7NX,"('wfh', 'nyc')",13,New York
877,877,2021-03-13 03:03:34+00:00,"Monochromatic Looks for #Spring  courtesy of @ZARA 🌺

Looking for tips on fashion, style, beauty products and more? 🎀

Check out @StyleOnAFly IG via #linkinbio #fashion #stylist #WFH #aesthetic #neutrals #fitness #bikershorts #casualattire #brunch #allwhite #styleonafly💅🏽 https://t.co/UQ32QvolMv","Monochromatic Looks for #Spring  courtesy of @ZARA 🌺

Looking for tips on fashion, style, beauty products and more? 🎀

Check out @StyleOnAFly IG via #linkinbio #fashion #stylist #WFH #aesthetic #neutrals #fitness #bikershorts #casualattire #brunch #allwhite #styleonafly💅🏽 https://t.co/UQ32QvolMv","('Spring', 'linkinbio', 'fashion', 'stylist', 'WFH', 'aesthetic', 'neutrals', 'fitness', 'bikershorts', 'casualattire', 'brunch', 'allwhite', 'styleonafly')",5,New York
878,878,2021-03-12 16:19:40+00:00,"This little tip got me like Toni Braxton saying “breathe again, breathe again”. Maybe today’s #wfh soundtrack will feature early 90s Toni. https://t.co/Dwk5wXa9EQ","This little tip got me like Toni Braxton saying “breathe again, breathe again”. Maybe today’s #wfh soundtrack will feature early 90s Toni. twitter.com/Meliseymo/stat…","('wfh',)",1,New York
879,879,2021-03-12 14:46:50+00:00,#FlashbackFriday (📸 ‘20). A year into the pandemic and Blackboard still gets on my nerves. #onlineclasses #TeachingOnline #wfh #adjunct https://t.co/uIdbAYlJv5,#FlashbackFriday (📸 ‘20). A year into the pandemic and Blackboard still gets on my nerves. #onlineclasses #TeachingOnline #wfh #adjunct https://t.co/uIdbAYlJv5,"('FlashbackFriday', 'onlineclasses', 'TeachingOnline', 'wfh', 'adjunct')",1,New York
880,880,2021-03-11 14:08:55+00:00,Hot take- crocs are comfortable and supportive #WFH footwear https://t.co/3fJrSskNoo,Hot take- crocs are comfortable and supportive #WFH footwear https://t.co/3fJrSskNoo,"('WFH',)",6,New York
881,881,2021-03-11 14:08:48+00:00,"It's been an year since @vladduthiersCBS &amp; @AMGreenCBS last anchored together in NYC, they're anchoring this morning socially distance on CBSN ahead of Pres Biden's COVID address tonight (plus checking screen colors of Anne-Marie's #WFH studio🏠). @CBSNews https://t.co/ba6nZ5tsWQ https://t.co/wQX3pMCCZl","It's been an year since @vladduthiersCBS &amp; @AMGreenCBS last anchored together in NYC, they're anchoring this morning socially distance on CBSN ahead of Pres Biden's COVID address tonight (plus checking screen colors of Anne-Marie's #WFH studio🏠). @CBSNews cbsnews.com/live https://t.co/wQX3pMCCZl","('WFH',)",0,New York
882,882,2021-03-10 17:18:30+00:00,"Ok. It happened. I have been home 364 days and I have run out of pens.
(Free pens, hotel pens, conference pens, bottom of my purse pens)
I am down to my last 2 and who knows how long they will last!

#WFH","Ok. It happened. I have been home 364 days and I have run out of pens.
(Free pens, hotel pens, conference pens, bottom of my purse pens)
I am down to my last 2 and who knows how long they will last!

#WFH","('WFH',)",6,New York
883,883,2021-03-10 16:06:34+00:00,"Today, March 10th marks 1 year of #WFH

I saved the email of our company telling us “someone in an unrelated company, on a completely differently floor has tested positive, WFH for the rest of the week”

366 (last year was a leap year) days.","Today, March 10th marks 1 year of #WFH

I saved the email of our company telling us “someone in an unrelated company, on a completely differently floor has tested positive, WFH for the rest of the week”

366 (last year was a leap year) days.","('WFH',)",6,New York
884,884,2021-03-09 22:31:39+00:00,1 Year of #WFH ! 😌,1 Year of #WFH ! 😌,"('WFH',)",36,New York
885,885,2021-03-09 13:42:41+00:00,"Ready.... set..... TONGUE! 👅🏁#tongueouttuesday #vizslasofinstagram #vizslagram #puppy #puppies #vizslapuppy #vizsla #wfh #workfromhome #Dog #Dogs #Pet #Pets #nyc #newyorkcity 
#bestfriends #pawsonpine #lowermanhattan #fidi #financialdistrict #woof
#fididog #fidipet https://t.co/E0aKl8PMsF","Ready.... set..... TONGUE! 👅🏁#tongueouttuesday #vizslasofinstagram #vizslagram #puppy #puppies #vizslapuppy #vizsla #wfh #workfromhome #Dog #Dogs #Pet #Pets #nyc #newyorkcity 
#bestfriends #pawsonpine #lowermanhattan #fidi #financialdistrict #woof
#fididog #fidipet https://t.co/E0aKl8PMsF","('tongueouttuesday', 'vizslasofinstagram', 'vizslagram', 'puppy', 'puppies', 'vizslapuppy', 'vizsla', 'wfh', 'workfromhome', 'Dog', 'Dogs', 'Pet', 'Pets', 'nyc', 'newyorkcity', 'bestfriends', 'pawsonpine', 'lowermanhattan', 'fidi', 'financialdistrict', 'woof', 'fididog', 'fidipet')",2,New York
886,886,2021-03-08 19:19:43+00:00,My work time has begun but I'm stuck at the kitchen table by a sleeping cat &amp; murder mystery! #latetowork #asychroniousworker #wfh https://t.co/wJbTONRtjT,My work time has begun but I'm stuck at the kitchen table by a sleeping cat &amp; murder mystery! #latetowork #asychroniousworker #wfh https://t.co/wJbTONRtjT,"('latetowork', 'asychroniousworker', 'wfh')",1,New York
887,887,2021-03-08 15:48:32+00:00,"Ready for the day #shaggydog #brooklyn #wfh #morningmood🌞 @ Red Hook Waterfront, Brooklyn https://t.co/d8peT0LKg2","Ready for the day #shaggydog #brooklyn #wfh #morningmood🌞 @ Red Hook Waterfront, Brooklyn instagram.com/p/CMKdDgqD2RC/…","('shaggydog', 'brooklyn', 'wfh', 'morningmood')",0,New York
